Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Season,Race,RoundNumber
ALB,Williams,18.0,18.0,18,+2 Laps,0.0,2022,Spanish Grand Prix,6
ZHO,Alfa Romeo,15.0,19.0,R,Power loss,0.0,2022,Spanish Grand Prix,6
LEC,Ferrari,1.0,20.0,R,Turbo,0.0,2022,Spanish Grand Prix,6
PER,Red Bull Racing,3.0,1.0,1,Finished,25.0,2022,Monaco Grand Prix,7
SAI,Ferrari,2.0,2.0,2,Finished,18.0,2022,Monaco Grand Prix,7
VER,Red Bull Racing,4.0,3.0,3,Finished,15.0,2022,Monaco Grand Prix,7
LEC,Ferrari,1.0,4.0,4,Finished,12.0,2022,Monaco Grand Prix,7
RUS,Mercedes,6.0,5.0,5,Finished,10.0,2022,Monaco Grand Prix,7
NOR,McLaren,5.0,6.0,6,Finished,9.0,2022,Monaco Grand Prix,7
ALO,Alpine,7.0,7.0,7,Finished,6.0,2022,Monaco Grand Prix,7
HAM,Mercedes,8.0,8.0,8,Finished,4.0,2022,Monaco Grand Prix,7
BOT,Alfa Romeo,12.0,9.0,9,Finished,2.0,2022,Monaco Grand Prix,7
VET,Aston Martin,9.0,10.0,10,Finished,1.0,2022,Monaco Grand Prix,7
GAS,AlphaTauri,17.0,11.0,11,Finished,0.0,2022,Monaco Grand Prix,7
OCO,Alpine,10.0,12.0,12,Finished,0.0,2022,Monaco Grand Prix,7
RIC,McLaren,14.0,13.0,13,Finished,0.0,2022,Monaco Grand Prix,7
STR,Aston Martin,18.0,14.0,14,Finished,0.0,2022,Monaco Grand Prix,7
LAT,Williams,19.0,15.0,15,+1 Lap,0.0,2022,Monaco Grand Prix,7
ZHO,Alfa Romeo,20.0,16.0,16,+1 Lap,0.0,2022,Monaco Grand Prix,7
TSU,AlphaTauri,11.0,17.0,17,+1 Lap,0.0,2022,Monaco Grand Prix,7
ALB,Williams,16.0,18.0,R,Mechanical,0.0,2022,Monaco Grand Prix,7
MSC,Haas F1 Team,15.0,19.0,R,Accident,0.0,2022,Monaco Grand Prix,7
MAG,Haas F1 Team,13.0,20.0,R,Water pressure,0.0,2022,Monaco Grand Prix,7
VER,Red Bull Racing,3.0,1.0,1,Finished,25.0,2022,Azerbaijan Grand Prix,8
PER,Red Bull Racing,2.0,2.0,2,Finished,19.0,2022,Azerbaijan Grand Prix,8
RUS,Mercedes,5.0,3.0,3,Finished,15.0,2022,Azerbaijan Grand Prix,8
HAM,Mercedes,7.0,4.0,4,Finished,12.0,2022,Azerbaijan Grand Prix,8
GAS,AlphaTauri,6.0,5.0,5,Finished,10.0,2022,Azerbaijan Grand Prix,8
VET,Aston Martin,9.0,6.0,6,Finished,8.0,2022,Azerbaijan Grand Prix,8
ALO,Alpine,10.0,7.0,7,Finished,6.0,2022,Azerbaijan Grand Prix,8
RIC,McLaren,12.0,8.0,8,Finished,4.0,2022,Azerbaijan Grand Prix,8
NOR,McLaren,11.0,9.0,9,Finished,2.0,2022,Azerbaijan Grand Prix,8
OCO,Alpine,13.0,10.0,10,Finished,1.0,2022,Azerbaijan Grand Prix,8
BOT,Alfa Romeo,15.0,11.0,11,+1 Lap,0.0,2022,Azerbaijan Grand Prix,8
ALB,Williams,17.0,12.0,12,+1 Lap,0.0,2022,Azerbaijan Grand Prix,8
TSU,AlphaTauri,8.0,13.0,13,+1 Lap,0.0,2022,Azerbaijan Grand Prix,8
MSC,Haas F1 Team,20.0,14.0,14,+1 Lap,0.0,2022,Azerbaijan Grand Prix,8
LAT,Williams,18.0,15.0,15,+1 Lap,0.0,2022,Azerbaijan Grand Prix,8
STR,Aston Martin,19.0,16.0,16,Vibrations,0.0,2022,Azerbaijan Grand Prix,8
MAG,Haas F1 Team,16.0,17.0,R,Power Unit,0.0,2022,Azerbaijan Grand Prix,8
ZHO,Alfa Romeo,14.0,18.0,R,Hydraulics,0.0,2022,Azerbaijan Grand Prix,8
LEC,Ferrari,1.0,19.0,R,Power Unit,0.0,2022,Azerbaijan Grand Prix,8
SAI,Ferrari,4.0,20.0,R,Hydraulics,0.0,2022,Azerbaijan Grand Prix,8
VER,Red Bull Racing,1.0,1.0,1,Finished,25.0,2022,Canadian Grand Prix,9
SAI,Ferrari,3.0,2.0,2,Finished,19.0,2022,Canadian Grand Prix,9
HAM,Mercedes,4.0,3.0,3,Finished,15.0,2022,Canadian Grand Prix,9
RUS,Mercedes,8.0,4.0,4,Finished,12.0,2022,Canadian Grand Prix,9
LEC,Ferrari,19.0,5.0,5,Finished,10.0,2022,Canadian Grand Prix,9
OCO,Alpine,7.0,6.0,6,Finished,8.0,2022,Canadian Grand Prix,9
BOT,Alfa Romeo,11.0,7.0,7,Finished,6.0,2022,Canadian Grand Prix,9
ZHO,Alfa Romeo,10.0,8.0,8,Finished,4.0,2022,Canadian Grand Prix,9
ALO,Alpine,2.0,9.0,9,Finished,2.0,2022,Canadian Grand Prix,9
STR,Aston Martin,17.0,10.0,10,Finished,1.0,2022,Canadian Grand Prix,9
RIC,McLaren,9.0,11.0,11,Finished,0.0,2022,Canadian Grand Prix,9
VET,Aston Martin,16.0,12.0,12,Finished,0.0,2022,Canadian Grand Prix,9
ALB,Williams,12.0,13.0,13,Finished,0.0,2022,Canadian Grand Prix,9
GAS,AlphaTauri,15.0,14.0,14,Finished,0.0,2022,Canadian Grand Prix,9
NOR,McLaren,14.0,15.0,15,Finished,0.0,2022,Canadian Grand Prix,9
LAT,Williams,18.0,16.0,16,Finished,0.0,2022,Canadian Grand Prix,9
MAG,Haas F1 Team,5.0,17.0,17,Finished,0.0,2022,Canadian Grand Prix,9
TSU,AlphaTauri,20.0,18.0,R,Accident,0.0,2022,Canadian Grand Prix,9
MSC,Haas F1 Team,6.0,19.0,R,Engine,0.0,2022,Canadian Grand Prix,9
PER,Red Bull Racing,13.0,20.0,R,Gearbox,0.0,2022,Canadian Grand Prix,9
SAI,Ferrari,1.0,1.0,1,Finished,25.0,2022,British Grand Prix,10
PER,Red Bull Racing,4.0,2.0,2,Finished,18.0,2022,British Grand Prix,10
HAM,Mercedes,5.0,3.0,3,Finished,16.0,2022,British Grand Prix,10
LEC,Ferrari,3.0,4.0,4,Finished,12.0,2022,British Grand Prix,10
ALO,Alpine,7.0,5.0,5,Finished,10.0,2022,British Grand Prix,10
NOR,McLaren,6.0,6.0,6,Finished,8.0,2022,British Grand Prix,10
VER,Red Bull Racing,2.0,7.0,7,Finished,6.0,2022,British Grand Prix,10
MSC,Haas F1 Team,19.0,8.0,8,Finished,4.0,2022,British Grand Prix,10
VET,Aston Martin,18.0,9.0,9,Finished,2.0,2022,British Grand Prix,10
MAG,Haas F1 Team,17.0,10.0,10,Finished,1.0,2022,British Grand Prix,10
STR,Aston Martin,20.0,11.0,11,Finished,0.0,2022,British Grand Prix,10
LAT,Williams,10.0,12.0,12,Finished,0.0,2022,British Grand Prix,10
RIC,McLaren,14.0,13.0,13,Finished,0.0,2022,British Grand Prix,10
TSU,AlphaTauri,13.0,14.0,14,Finished,0.0,2022,British Grand Prix,10
OCO,Alpine,15.0,15.0,R,Fuel pump,0.0,2022,British Grand Prix,10
GAS,AlphaTauri,11.0,16.0,R,Collision damage,0.0,2022,British Grand Prix,10
BOT,Alfa Romeo,12.0,17.0,R,Gearbox,0.0,2022,British Grand Prix,10
RUS,Mercedes,8.0,18.0,R,Collision,0.0,2022,British Grand Prix,10
ZHO,Alfa Romeo,9.0,19.0,R,Collision,0.0,2022,British Grand Prix,10
ALB,Williams,16.0,20.0,R,Collision,0.0,2022,British Grand Prix,10
LEC,Ferrari,2.0,1.0,1,Finished,25.0,2022,Austrian Grand Prix,11
VER,Red Bull Racing,1.0,2.0,2,Finished,19.0,2022,Austrian Grand Prix,11
HAM,Mercedes,8.0,3.0,3,Finished,15.0,2022,Austrian Grand Prix,11
RUS,Mercedes,4.0,4.0,4,Finished,12.0,2022,Austrian Grand Prix,11
OCO,Alpine,6.0,5.0,5,Finished,10.0,2022,Austrian Grand Prix,11
MSC,Haas F1 Team,9.0,6.0,6,+1 Lap,8.0,2022,Austrian Grand Prix,11
NOR,McLaren,10.0,7.0,7,+1 Lap,6.0,2022,Austrian Grand Prix,11
MAG,Haas F1 Team,7.0,8.0,8,+1 Lap,4.0,2022,Austrian Grand Prix,11
RIC,McLaren,11.0,9.0,9,+1 Lap,2.0,2022,Austrian Grand Prix,11
ALO,Alpine,19.0,10.0,10,+1 Lap,1.0,2022,Austrian Grand Prix,11
BOT,Alfa Romeo,0.0,11.0,11,+1 Lap,0.0,2022,Austrian Grand Prix,11
ALB,Williams,15.0,12.0,12,+1 Lap,0.0,2022,Austrian Grand Prix,11
STR,Aston Martin,12.0,13.0,13,+1 Lap,0.0,2022,Austrian Grand Prix,11
ZHO,Alfa Romeo,13.0,14.0,14,+1 Lap,0.0,2022,Austrian Grand Prix,11
GAS,AlphaTauri,14.0,15.0,15,+1 Lap,0.0,2022,Austrian Grand Prix,11
TSU,AlphaTauri,16.0,16.0,16,+1 Lap,0.0,2022,Austrian Grand Prix,11
VET,Aston Martin,18.0,17.0,17,+1 Lap,0.0,2022,Austrian Grand Prix,11
SAI,Ferrari,3.0,18.0,R,Power Unit,0.0,2022,Austrian Grand Prix,11
LAT,Williams,17.0,19.0,R,Undertray,0.0,2022,Austrian Grand Prix,11
PER,Red Bull Racing,5.0,20.0,R,Collision damage,0.0,2022,Austrian Grand Prix,11
VER,Red Bull Racing,2.0,1.0,1,Finished,25.0,2022,French Grand Prix,12
HAM,Mercedes,4.0,2.0,2,Finished,18.0,2022,French Grand Prix,12
RUS,Mercedes,6.0,3.0,3,Finished,15.0,2022,French Grand Prix,12
PER,Red Bull Racing,3.0,4.0,4,Finished,12.0,2022,French Grand Prix,12
SAI,Ferrari,19.0,5.0,5,Finished,11.0,2022,French Grand Prix,12
ALO,Alpine,7.0,6.0,6,Finished,8.0,2022,French Grand Prix,12
NOR,McLaren,5.0,7.0,7,Finished,6.0,2022,French Grand Prix,12
OCO,Alpine,10.0,8.0,8,Finished,4.0,2022,French Grand Prix,12
RIC,McLaren,9.0,9.0,9,Finished,2.0,2022,French Grand Prix,12
STR,Aston Martin,15.0,10.0,10,Finished,1.0,2022,French Grand Prix,12
VET,Aston Martin,12.0,11.0,11,Finished,0.0,2022,French Grand Prix,12
GAS,AlphaTauri,14.0,12.0,12,Finished,0.0,2022,French Grand Prix,12
ALB,Williams,13.0,13.0,13,Finished,0.0,2022,French Grand Prix,12
BOT,Alfa Romeo,11.0,14.0,14,Finished,0.0,2022,French Grand Prix,12
MSC,Haas F1 Team,17.0,15.0,15,Finished,0.0,2022,French Grand Prix,12
ZHO,Alfa Romeo,16.0,16.0,16,+6 Laps,0.0,2022,French Grand Prix,12
LAT,Williams,18.0,17.0,R,Collision damage,0.0,2022,French Grand Prix,12
MAG,Haas F1 Team,20.0,18.0,R,Collision damage,0.0,2022,French Grand Prix,12
LEC,Ferrari,1.0,19.0,R,Accident,0.0,2022,French Grand Prix,12
TSU,AlphaTauri,8.0,20.0,R,Undertray,0.0,2022,French Grand Prix,12
VER,Red Bull Racing,10.0,1.0,1,Finished,25.0,2022,Hungarian Grand Prix,13
HAM,Mercedes,7.0,2.0,2,Finished,19.0,2022,Hungarian Grand Prix,13
RUS,Mercedes,1.0,3.0,3,Finished,15.0,2022,Hungarian Grand Prix,13
SAI,Ferrari,2.0,4.0,4,Finished,12.0,2022,Hungarian Grand Prix,13
PER,Red Bull Racing,11.0,5.0,5,Finished,10.0,2022,Hungarian Grand Prix,13
LEC,Ferrari,3.0,6.0,6,Finished,8.0,2022,Hungarian Grand Prix,13
NOR,McLaren,4.0,7.0,7,Finished,6.0,2022,Hungarian Grand Prix,13
ALO,Alpine,6.0,8.0,8,+1 Lap,4.0,2022,Hungarian Grand Prix,13
OCO,Alpine,5.0,9.0,9,+1 Lap,2.0,2022,Hungarian Grand Prix,13
VET,Aston Martin,18.0,10.0,10,+1 Lap,1.0,2022,Hungarian Grand Prix,13
STR,Aston Martin,14.0,11.0,11,+1 Lap,0.0,2022,Hungarian Grand Prix,13
GAS,AlphaTauri,0.0,12.0,12,+1 Lap,0.0,2022,Hungarian Grand Prix,13
ZHO,Alfa Romeo,12.0,13.0,13,+1 Lap,0.0,2022,Hungarian Grand Prix,13
MSC,Haas F1 Team,15.0,14.0,14,+1 Lap,0.0,2022,Hungarian Grand Prix,13
RIC,McLaren,9.0,15.0,15,+1 Lap,0.0,2022,Hungarian Grand Prix,13
MAG,Haas F1 Team,13.0,16.0,16,+1 Lap,0.0,2022,Hungarian Grand Prix,13
ALB,Williams,17.0,17.0,17,+1 Lap,0.0,2022,Hungarian Grand Prix,13
LAT,Williams,19.0,18.0,18,+1 Lap,0.0,2022,Hungarian Grand Prix,13
TSU,AlphaTauri,16.0,19.0,19,+2 Laps,0.0,2022,Hungarian Grand Prix,13
BOT,Alfa Romeo,8.0,20.0,20,Power Unit,0.0,2022,Hungarian Grand Prix,13
VER,Red Bull Racing,14.0,1.0,1,Finished,26.0,2022,Belgian Grand Prix,14
PER,Red Bull Racing,2.0,2.0,2,Finished,18.0,2022,Belgian Grand Prix,14
SAI,Ferrari,1.0,3.0,3,Finished,15.0,2022,Belgian Grand Prix,14
RUS,Mercedes,5.0,4.0,4,Finished,12.0,2022,Belgian Grand Prix,14
ALO,Alpine,3.0,5.0,5,Finished,10.0,2022,Belgian Grand Prix,14
LEC,Ferrari,15.0,6.0,6,Finished,8.0,2022,Belgian Grand Prix,14
OCO,Alpine,16.0,7.0,7,Finished,6.0,2022,Belgian Grand Prix,14
VET,Aston Martin,10.0,8.0,8,Finished,4.0,2022,Belgian Grand Prix,14
GAS,AlphaTauri,0.0,9.0,9,Finished,2.0,2022,Belgian Grand Prix,14
ALB,Williams,6.0,10.0,10,Finished,1.0,2022,Belgian Grand Prix,14
STR,Aston Martin,9.0,11.0,11,Finished,0.0,2022,Belgian Grand Prix,14
NOR,McLaren,17.0,12.0,12,Finished,0.0,2022,Belgian Grand Prix,14
TSU,AlphaTauri,0.0,13.0,13,Finished,0.0,2022,Belgian Grand Prix,14
ZHO,Alfa Romeo,18.0,14.0,14,Finished,0.0,2022,Belgian Grand Prix,14
RIC,McLaren,7.0,15.0,15,Finished,0.0,2022,Belgian Grand Prix,14
MAG,Haas F1 Team,12.0,16.0,16,+1 Lap,0.0,2022,Belgian Grand Prix,14
MSC,Haas F1 Team,19.0,17.0,17,+1 Lap,0.0,2022,Belgian Grand Prix,14
LAT,Williams,11.0,18.0,18,+1 Lap,0.0,2022,Belgian Grand Prix,14
BOT,Alfa Romeo,13.0,19.0,R,Accident,0.0,2022,Belgian Grand Prix,14
HAM,Mercedes,4.0,20.0,R,Collision damage,0.0,2022,Belgian Grand Prix,14
VER,Red Bull Racing,1.0,1.0,1,Finished,26.0,2022,Dutch Grand Prix,15
RUS,Mercedes,6.0,2.0,2,Finished,18.0,2022,Dutch Grand Prix,15
LEC,Ferrari,2.0,3.0,3,Finished,15.0,2022,Dutch Grand Prix,15
HAM,Mercedes,4.0,4.0,4,Finished,12.0,2022,Dutch Grand Prix,15
PER,Red Bull Racing,5.0,5.0,5,Finished,10.0,2022,Dutch Grand Prix,15
ALO,Alpine,13.0,6.0,6,Finished,8.0,2022,Dutch Grand Prix,15
NOR,McLaren,7.0,7.0,7,Finished,6.0,2022,Dutch Grand Prix,15
SAI,Ferrari,3.0,8.0,8,Finished,4.0,2022,Dutch Grand Prix,15
OCO,Alpine,12.0,9.0,9,Finished,2.0,2022,Dutch Grand Prix,15
STR,Aston Martin,10.0,10.0,10,Finished,1.0,2022,Dutch Grand Prix,15
GAS,AlphaTauri,11.0,11.0,11,Finished,0.0,2022,Dutch Grand Prix,15
ALB,Williams,15.0,12.0,12,Finished,0.0,2022,Dutch Grand Prix,15
MSC,Haas F1 Team,8.0,13.0,13,Finished,0.0,2022,Dutch Grand Prix,15
VET,Aston Martin,19.0,14.0,14,Finished,0.0,2022,Dutch Grand Prix,15
MAG,Haas F1 Team,18.0,15.0,15,Finished,0.0,2022,Dutch Grand Prix,15
ZHO,Alfa Romeo,14.0,16.0,16,Finished,0.0,2022,Dutch Grand Prix,15
RIC,McLaren,17.0,17.0,17,Finished,0.0,2022,Dutch Grand Prix,15
LAT,Williams,20.0,18.0,18,+1 Lap,0.0,2022,Dutch Grand Prix,15
BOT,Alfa Romeo,16.0,19.0,R,Engine,0.0,2022,Dutch Grand Prix,15
TSU,AlphaTauri,9.0,20.0,R,Differential,0.0,2022,Dutch Grand Prix,15
VER,Red Bull Racing,7.0,1.0,1,Finished,25.0,2022,Italian Grand Prix,16
LEC,Ferrari,1.0,2.0,2,Finished,18.0,2022,Italian Grand Prix,16
RUS,Mercedes,2.0,3.0,3,Finished,15.0,2022,Italian Grand Prix,16
