Race,Compound,status,source,b1,b2,tau,gamma,max_age,usable_limit,median_stop,nocliff_stop,cliff_reason,reason,notes
French Grand Prix,MEDIUM,ok,measured,0.03239,0.0,13.0,0.01095,22.0,22.0,20.0,42.0,measured,,
French Grand Prix,HARD,ok,measured,0.0,0.0,23.0,0.00808,33.0,33.0,36.0,66.0,measured,,
German Grand Prix,SOFT,ok,legacy-era,0.0,0.0,,,18.0,18.0,,36.0,only 2 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
German Grand Prix,MEDIUM,dropped,,,,,,,,,,,no cap,
German Grand Prix,HARD,ok,legacy-era,0.0,0.005197,,,26.0,26.0,22.0,18.0,only 3 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Hungarian Grand Prix,SOFT,ok,measured,0.0,0.006962,,,21.0,21.0,19.0,16.0,the tyre is used to 21 and the cliff-free curve already stops at 16 - the measured wear explains the stint length on its own,,
Hungarian Grand Prix,MEDIUM,ok,order-clipped,0.00696,0.0,,,34.0,34.0,27.0,26.0,the tyre is used to 34 and the cliff-free curve already stops at 26 - the measured wear explains the stint length on its own,,scaled to 0.11 so it does not exceed SOFT at this circuit
Hungarian Grand Prix,HARD,ok,order-clipped,0.00696,0.0,,,40.0,40.0,40.0,26.0,the tyre is used to 40 and the cliff-free curve already stops at 26 - the measured wear explains the stint length on its own,,scaled to 0.11 so it does not exceed MEDIUM at this circuit
Italian Grand Prix,SOFT,ok,measured,0.0,0.002762,11.0,0.00149,22.0,22.0,23.0,24.0,measured,,
Italian Grand Prix,MEDIUM,ok,order-clipped,0.00276,0.0,15.0,0.00012,34.0,34.0,22.0,47.0,measured,,scaled to 0.12 so it does not exceed SOFT at this circuit
Italian Grand Prix,HARD,ok,order-clipped,0.00276,0.0,,,41.0,41.0,39.0,34.0,the tyre is used to 41 and the cliff-free curve already stops at 34 - the measured wear explains the stint length on its own,,scaled to 0.06 so it does not exceed MEDIUM at this circuit
Japanese Grand Prix,SOFT,ok,measured,0.0,0.003616,10.0,0.006,18.0,18.0,19.0,21.0,measured,,
Japanese Grand Prix,MEDIUM,ok,order-clipped,0.00362,0.0,,,28.0,28.0,20.0,28.0,the tyre is used to 28 and the cliff-free curve already stops at 28 - the measured wear explains the stint length on its own,,scaled to 0.06 so it does not exceed SOFT at this circuit
Japanese Grand Prix,HARD,ok,order-clipped,0.00362,0.0,,,30.0,30.0,31.0,25.0,the tyre is used to 30 and the cliff-free curve already stops at 25 - the measured wear explains the stint length on its own,,scaled to 0.05 so it does not exceed MEDIUM at this circuit
Las Vegas Grand Prix,SOFT,ok,panel-wear,0.09627,0.0,,,14.0,,,,,,wear from the compound_scaling panel (no soft profile); the stint profile cannot see this compound here
Las Vegas Grand Prix,MEDIUM,ok,measured,0.07149,0.001129,,,23.0,23.0,14.0,21.0,the tyre is used to 23 and the cliff-free curve already stops at 21 - the measured wear explains the stint length on its own,,
Las Vegas Grand Prix,HARD,ok,measured,0.00414,0.001712,,,32.0,32.0,26.0,27.0,the tyre is used to 32 and the cliff-free curve already stops at 27 - the measured wear explains the stint length on its own,,
Mexican Grand Prix,SOFT,ok,medium-copy,0.04985,0.0,,,14.0,,,,no stage-1 curve,,"wear taken from MEDIUM at this circuit (no soft profile); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Mexican Grand Prix,MEDIUM,ok,legacy-era,0.04985,0.0,,,35.0,35.0,19.0,30.0,the tyre is used to 35 and the cliff-free curve already stops at 30 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Mexican Grand Prix,HARD,ok,legacy-era,0.03545,0.0,,,55.0,55.0,43.0,35.0,the tyre is used to 55 and the cliff-free curve already stops at 35 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Mexico City Grand Prix,SOFT,ok,measured,0.04299,0.000387,,,34.0,34.0,29.0,28.0,the tyre is used to 34 and the cliff-free curve already stops at 28 - the measured wear explains the stint length on its own,,
Mexico City Grand Prix,MEDIUM,ok,measured,0.03463,0.0,,,42.0,42.0,31.0,37.0,the tyre is used to 42 and the cliff-free curve already stops at 37 - the measured wear explains the stint length on its own,,
Mexico City Grand Prix,HARD,ok,measured,0.03173,0.0,,,46.0,46.0,45.0,38.0,the tyre is used to 46 and the cliff-free curve already stops at 38 - the measured wear explains the stint length on its own,,
Miami Grand Prix,SOFT,ok,medium-copy,0.03597,0.0,12.0,0.00154,17.0,,,,no stage-1 curve,,"wear taken from MEDIUM at this circuit (no soft profile); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Miami Grand Prix,MEDIUM,ok,measured,0.03597,0.0,12.0,0.00154,27.0,27.0,22.0,35.0,measured,,
Miami Grand Prix,HARD,ok,measured,0.03231,0.000149,,,43.0,43.0,41.0,34.0,the tyre is used to 43 and the cliff-free curve already stops at 34 - the measured wear explains the stint length on its own,,
Monaco Grand Prix,SOFT,ok,legacy-era,0.0,0.002067,,,29.0,29.0,34.0,24.0,the tyre is used to 29 and the cliff-free curve already stops at 24 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Monaco Grand Prix,MEDIUM,ok,measured,0.0,0.0,27.0,0.00016,72.0,72.0,47.0,144.0,measured,,
Monaco Grand Prix,HARD,ok,order-clipped,0.0,0.0,,,75.0,75.0,,47.0,the tyre is used to 75 and the cliff-free curve already stops at 47 - the measured wear explains the stint length on its own,,scaled to 0.00 so it does not exceed MEDIUM at this circuit
Portuguese Grand Prix,SOFT,ok,medium-copy,0.0,0.000215,,,26.0,26.0,24.0,52.0,measured,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 15); the panel has nothing usable either, so the shorter soft life is carried by max_age alone; cliff at 27 sits past the cap, dropped"
Portuguese Grand Prix,MEDIUM,ok,legacy-era,0.0,0.000215,27.0,0.00114,42.0,42.0,38.0,53.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Portuguese Grand Prix,HARD,ok,legacy-era,0.0,0.000199,23.0,0.00049,42.0,42.0,38.0,51.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure; scaled to 0.79 so it does not exceed MEDIUM at this circuit
Qatar Grand Prix,SOFT,ok,legacy-era,0.0,0.003498,,,22.0,22.0,24.0,23.0,the tyre is used to 22 and the cliff-free curve already stops at 23 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Qatar Grand Prix,MEDIUM,ok,order-clipped,0.00309,0.000409,20.0,0.00298,23.0,23.0,23.0,25.0,measured,,scaled to 0.19 so it does not exceed SOFT at this circuit
Qatar Grand Prix,HARD,ok,order-clipped,0.0035,0.0,11.0,0.00014,23.0,23.0,30.0,28.0,measured,,scaled to 0.05 so it does not exceed MEDIUM at this circuit
Russian Grand Prix,SOFT,ok,medium-copy,0.0,0.0,12.0,0.00334,17.0,25.0,22.0,50.0,measured,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 15); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Russian Grand Prix,MEDIUM,ok,legacy-era,0.0,0.0,12.0,0.00334,28.0,28.0,20.0,56.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Russian Grand Prix,HARD,ok,legacy-era,0.0,0.0,18.0,0.00103,42.0,42.0,34.0,84.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Sakhir Grand Prix,SOFT,ok,medium-copy,0.06067,0.0,,,25.0,,,,no stage-1 curve,,"wear taken from MEDIUM at this circuit (no soft profile); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Sakhir Grand Prix,MEDIUM,ok,legacy-era,0.06067,0.0,,,41.0,41.0,31.0,27.0,the tyre is used to 41 and the cliff-free curve already stops at 27 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Sakhir Grand Prix,HARD,ok,legacy-era,0.05456,0.0,,,41.0,41.0,29.0,28.0,only 6 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Saudi Arabian Grand Prix,SOFT,ok,panel-wear,0.05061,0.0,,,14.0,,,,no stage-1 curve,,wear from the compound_scaling panel (no soft profile); the stint profile cannot see this compound here
Saudi Arabian Grand Prix,MEDIUM,ok,measured,0.0,0.0,13.0,0.00215,32.0,32.0,16.0,64.0,measured,,
Saudi Arabian Grand Prix,HARD,ok,measured,0.0,0.0,16.0,0.001,41.0,41.0,,82.0,measured,,
Singapore Grand Prix,SOFT,ok,medium-copy,0.0,0.000595,19.0,0.00022,25.0,26.0,21.0,52.0,measured,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 15); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Singapore Grand Prix,MEDIUM,ok,measured,0.0,0.000595,19.0,0.00022,40.0,40.0,27.0,42.0,measured,,
Singapore Grand Prix,HARD,ok,order-clipped,0.00059,6e-06,,,45.0,45.0,53.0,35.0,the tyre is used to 45 and the cliff-free curve already stops at 35 - the measured wear explains the stint length on its own,,scaled to 0.02 so it does not exceed MEDIUM at this circuit
Spanish Grand Prix,SOFT,ok,measured,0.08455,0.0,,,22.0,22.0,21.0,23.0,the tyre is used to 22 and the cliff-free curve already stops at 23 - the measured wear explains the stint length on its own,,
Spanish Grand Prix,MEDIUM,ok,measured,0.0677,0.0,,,30.0,30.0,23.0,26.0,the tyre is used to 30 and the cliff-free curve already stops at 26 - the measured wear explains the stint length on its own,,
Spanish Grand Prix,HARD,ok,order-clipped,0.0677,0.0,,,33.0,33.0,32.0,26.0,the tyre is used to 33 and the cliff-free curve already stops at 26 - the measured wear explains the stint length on its own,,scaled to 0.96 so it does not exceed MEDIUM at this circuit
Styrian Grand Prix,SOFT,ok,legacy-era,0.03787,0.0,,,36.0,36.0,31.0,34.0,the tyre is used to 36 and the cliff-free curve already stops at 34 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Styrian Grand Prix,MEDIUM,ok,legacy-era,0.00516,0.000476,,,42.0,42.0,35.0,38.0,the tyre is used to 42 and the cliff-free curve already stops at 38 - the measured wear explains the stint length on its own,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Styrian Grand Prix,HARD,ok,legacy-era,0.00535,0.000285,,,45.0,45.0,45.0,31.0,only 8 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure; scaled to 0.38 so it does not exceed MEDIUM at this circuit
São Paulo Grand Prix,SOFT,ok,medium-copy,0.04603,0.0,,,17.0,26.0,23.0,35.0,measured,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 15); the panel has nothing usable either, so the shorter soft life is carried by max_age alone; cliff at 17 sits past the cap, dropped"
São Paulo Grand Prix,MEDIUM,ok,measured,0.04603,0.0,17.0,0.00185,27.0,27.0,25.0,31.0,measured,,
São Paulo Grand Prix,HARD,ok,legacy-era,0.01578,0.000825,23.0,0.00778,27.0,27.0,33.0,30.0,measured,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Tuscan Grand Prix,SOFT,ok,medium-copy,0.0,0.002627,,,9.0,14.0,21.0,28.0,only 9 pit decisions,,"wear taken from MEDIUM at this circuit (measures kinder than MEDIUM at age 14); the panel has nothing usable either, so the shorter soft life is carried by max_age alone"
Tuscan Grand Prix,MEDIUM,ok,legacy-era,0.0,0.002627,,,14.0,14.0,19.0,23.0,only 9 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure
Tuscan Grand Prix,HARD,ok,legacy-era,0.00263,0.0,,,14.0,14.0,13.0,28.0,only 7 pit decisions,,fitted on 13-inch seasons; 2022-2025 has too little of this compound here to measure; scaled to 0.07 so it does not exceed MEDIUM at this circuit
United States Grand Prix,SOFT,ok,measured,0.06931,0.0,,,26.0,26.0,26.0,25.0,the tyre is used to 26 and the cliff-free curve already stops at 25 - the measured wear explains the stint length on its own,,
United States Grand Prix,MEDIUM,ok,measured,0.06271,0.0,,,31.0,31.0,18.0,26.0,the tyre is used to 31 and the cliff-free curve already stops at 26 - the measured wear explains the stint length on its own,,
United States Grand Prix,HARD,ok,measured,0.05397,0.0,,,36.0,36.0,28.0,28.0,the tyre is used to 36 and the cliff-free curve already stops at 28 - the measured wear explains the stint length on its own,,
